,0
0,27.368
1,0.0
2,0.07200000000000273
3,0.15600000000000236
4,0.21600000000000108
5,0.2759999999999998
6,0.28800000000000026
7,0.3360000000000021
8,0.3960000000000008
9,0.5040000000000013
10,0.5280000000000022
11,0.5760000000000005
12,0.6360000000000028
13,0.6960000000000015
14,0.7560000000000002
15,0.828000000000003
16,0.8640000000000008
17,0.9720000000000013
18,0.9960000000000022
19,1.0440000000000005
20,1.1040000000000028
21,1.176000000000002
22,1.2240000000000002
23,1.272000000000002
24,1.3200000000000003
25,1.3440000000000012
26,1.4400000000000013
27,1.5120000000000005
28,1.5600000000000023
29,1.596
30,1.6320000000000014
31,1.7280000000000015
32,1.8240000000000016
33,1.8719999999999999
34,1.9800000000000004
35,2.052000000000003
36,2.1479999999999997
37,2.2439999999999998
38,2.2920000000000016
39,2.424000000000003
40,2.4720000000000013
41,2.5680000000000014
42,2.628
43,2.7119999999999997
44,2.7840000000000025
45,2.844000000000001
46,2.904
47,2.9760000000000026
48,3.084000000000003
49,3.144000000000002
50,3.2040000000000006
51,3.276
52,3.3840000000000003
53,3.4440000000000026
54,3.5040000000000013
55,3.5760000000000005
56,3.612000000000002
57,3.66
58,3.780000000000001
59,3.84
60,3.900000000000002
61,3.900000000000002
62,4.032
63,4.080000000000002
64,4.128
65,4.176000000000002
66,4.236000000000001
67,4.308
68,4.344000000000001
69,4.392000000000003
70,4.440000000000001
71,4.560000000000002
72,4.800000000000001
73,4.836000000000002
74,4.884000000000004
75,4.919999999999998
76,5.004000000000001
77,5.076000000000004
78,5.111999999999998
79,5.16
80,5.172000000000001
81,5.268000000000004
82,5.327999999999999
83,5.400000000000002
84,5.448000000000004
85,5.507999999999999
86,5.568000000000001
87,5.628000000000004
88,5.687999999999999
89,5.748000000000001
90,5.808000000000003
91,5.820000000000004
92,5.8679999999999986
93,5.928000000000001
94,5.988000000000003
95,6.059999999999999
96,6.1080000000000005
97,6.120000000000001
98,6.216000000000005
99,6.216000000000005
100,6.276
101,6.336000000000002
102,6.408000000000005
103,6.443999999999999
104,6.540000000000003
105,6.540000000000003
106,6.5880000000000045
107,6.648
108,6.708000000000002
109,6.768000000000004
110,6.827999999999999
111,6.900000000000002
112,6.9360000000000035
113,6.995999999999999
114,7.056000000000001
115,7.128000000000004
116,7.128000000000004
117,7.224
118,7.224
119,7.320000000000004
120,7.3679999999999986
121,7.3679999999999986
122,7.488000000000003
123,7.5000000000000036
124,7.596
125,7.668000000000003
126,7.668000000000003
127,7.704000000000004
128,7.812000000000001
129,7.860000000000003
130,7.908000000000005
131,7.968
132,8.040000000000003
133,8.076000000000004
134,8.136
135,8.196000000000002
136,8.244000000000003
137,8.244000000000003
138,8.315999999999999
139,8.364
140,8.424000000000003
141,8.448000000000004
142,8.532
143,8.568000000000001
144,8.640000000000004
145,8.663999999999998
146,8.712
147,8.772000000000002
148,8.844000000000005
149,8.879999999999999
150,8.940000000000001
151,8.940000000000001
152,9.000000000000004
153,9.059999999999999
154,9.120000000000001
155,9.132000000000001
156,9.192000000000004
157,9.251999999999999
158,9.3
159,9.312000000000001
160,9.396000000000004
161,9.443999999999999
162,9.492
163,9.552000000000003
164,9.611999999999998
165,9.623999999999999
166,9.672
167,9.732000000000003
168,9.803999999999998
169,9.852
170,9.912000000000003
